uniprot gn
Q09666 AHNAK
P02768 ALB
P21333 FLNA
P49327 FASN
P78527 PRKDC
P35749 MYH11
P63267 ACTG2
P07951 TPM2
P04114 APOB
P35579 MYH9
Q14204 DYNC1H1
Q9Y490 TLN1
O75369 FLNB
P10809 HSPD1
Q05682 CALD1
P18206 VCL
P01024 C3
P02787 TF
Q00610 CLTC
P09493 TPM1
P69905 HBA1
P12111 COL6A3
Q92616 GCN1L1
P04406 GAPDH
P08238 HSP90AB1
P17661 DES
P68871 HBB
P02788 LTF
P42704 LRPPRC
P13639 EEF2
P01023 A2M
P27816 MAP4
P07814 EPRS
Q14315 FLNC
P11142 HSPA8
Q9UM54 MYO6
P55072 VCP
Q05707 COL14A1
P14618 PKM
Q14980 NUMA1
Q01995 TAGLN
P07437 TUBB
Q15746 MYLK
P08123 COL1A2
Q13813 SPTAN1
P06733 ENO1
P14625 HSP90B1
P08670 VIM
P09874 PARP1
P11021 HSPA5
P68104 EEF1A1
P01009 SERPINA1
P02647 APOA1
P12814 ACTN1
P05787 KRT8
Q7Z6Z7 HUWE1
P30101 PDIA3
P00558 PGK1
P51911 CNN1
Q9UMS6 SYNPO2
O75643 SNRNP200
P12277 CKB
P60709 ACTB
P22314 UBA1
P15309 ACPP
Q13263 TRIM28
P19338 NCL
P25705 ATP5A1
P04075 ALDOA
P07237 P4HB
P38646 HSPA9
P00338 LDHA
P0C0L4 C4A
P50395 GDI2
P06576 ATP5B
P00738 HP
P02452 COL1A1
P01857 IGHG1
Q00839 HNRNPU
P0DMV9 HSPA1B
O15061 SYNM
Q13228 SELENBP1
P27797 CALR
P35221 CTNNA1
Q6P2Q9 PRPF8
P21291 CSRP1
P78371 CCT2
Q08211 DHX9
P46940 IQGAP1
P48643 CCT5
P53396 ACLY
Q14697 GANAB
P13667 PDIA4
P49588 AARS
P04264 KRT1
Q86VP6 CAND1
P07288 KLK3
P25311 AZGP1
P22626 HNRNPA2B1
P34932 HSPA4
P20700 LMNB1
P12270 TPR
P05023 ATP1A1
P29401 TKT
P13010 XRCC5
P11586 MTHFD1
P02675 FGB
P08603 CFH
Q14974 KPNB1
P31939 ATIC
Q13085 ACACA
P07900 HSP90AA1
P13796 LCP1
P26640 VARS
Q04637 EIF4G1
Q9Y4L1 HYOU1
Q14152 EIF3A
P12956 XRCC6
Q15124 PGM5
P24844 MYL9
P52272 HNRNPM
P05783 KRT18
P31948 STIP1
P00450 CP
Q7KZF4 SND1
P55060 CSE1L
P49368 CCT3
P53621 COPA
Q00796 SORD
P17987 TCP1
P40939 HADHA
P08758 ANXA5
Q93052 LPP
P40926 MDH2
P05455 SSB
P06727 APOA4
P09651 HNRNPA1
P30153 PPP2R1A
Q86UP2 KTN1
Q02952 AKAP12
P19367 HK1
Q02790 FKBP4
P61978 HNRNPK
P50990 CCT8
P35580 MYH10
P11216 PYGB
P06748 NPM1
Q9BX66 SORBS1
O43175 PHGDH
Q5VYK3 ECM29
P08133 ANXA6
Q9NR30 DDX21
P60174 TPI1
O75874 IDH1
Q92598 HSPH1
O60701 UGDH
P05141 SLC25A5
P36578 RPL4
Q96KP4 CNDP2
P62258 YWHAE
Q13200 PSMD2
P60842 EIF4A1
P62937 PPIA
Q13576 IQGAP2
P36776 LONP1
P04792 HSPB1
P09429 HMGB1
Q14BN4 SLMAP
Q92945 KHSRP
O75533 SF3B1
P48735 IDH2
Q99832 CCT7
Q99798 ACO2
P41252 IARS
P15144 ANPEP
P16615 ATP2A2
P02671 FGA
P02545 LMNA
P23526 AHCY
P06744 GPI
P02679 FGG
P53618 COPB1
P49792 RANBP2
P35527 KRT9
P00505 GOT2
P34897 SHMT2
P23528 CFL1
P22234 PAICS
Q00341 HDLBP
O00410 IPO5
P55786 NPEPPS
P30041 PRDX6
P40227 CCT6A
